ParcelNumber,Date,Price,ConveyanceTax
4230200690052,2024-03-08T10:00:00Z,795000,1590.00
4230200690024,2024-02-22T10:00:00Z,769400,1538.80
4230200580000,2024-02-15T10:00:00Z,782000,ERROR
4230190780000,2024-05-31T10:00:00Z,880000,176000
4230180450000,2024-03-15T10:00:00Z,470000,470.00
4230170200000,2024-04-09T10:00:00Z,1107000,3321.00
4230160480000,2024-03-20T10:00:00Z,950000,2375.00
4230130410000,2024-05-07T10:00:00Z,798183,1197.27
4230091000000,2024-01-10T10:00:00Z,3650000,18250.00
4230090900000,2024-01-18T10:00:00Z,1100000,3300.00
4230090180002,2024-03-25T10:00:00Z,5575000,39025.00
4230060220002,2024-03-18T10:00:00Z,1550000,4650.00
4230050170001,2024-05-24T10:00:00Z,4800000,40800.00
4230021110004,2024-04-02T10:00:00Z,1790000,7160.00
4220020100000,2024-02-27T10:00:00Z,405900,608.85
4220020100000,2024-06-03T10:00:00Z,750000,1500.00
4210100630000,2024-04-12T10:00:00Z,475000,475.00
4210100180000,2024-03-01T10:00:00Z,805000,2012.50
4210080400000,2024-02-26T10:00:00Z,756000,1512.00
4210070820000,2024-04-26T10:00:00Z,801000,1602.00
4210060640000,2024-04-22T10:00:00Z,725000,1812.50
4210010550000,2024-01-31T10:00:00Z,1650000,4950.00
4190090170000,2024-04-02T10:00:00Z,1150000,4600.00
4180150290000,2024-06-26T10:00:00Z,750000,1500.00
4180141100000,2024-05-15T10:00:00Z,942000,1884.00
4160120110000,2024-04-12T10:00:00Z,700000,1400.00
4160070030003,2024-03-19T10:00:00Z,714000,1428.00
4160060110002,2024-02-07T10:00:00Z,650000,1300.00
4160060110001,2024-02-07T10:00:00Z,650000,1300.00
4160050840000,2024-01-26T10:00:00Z,775000,1550.00
4160030220000,2024-04-12T10:00:00Z,825000,1650.00
4150020580000,2024-05-22T10:00:00Z,499000,499.00
4150020470000,2024-02-29T10:00:00Z,1150000,4600.00
4130100690002,2024-05-06T10:00:00Z,841000,1682.00
4130090140000,2024-06-24T10:00:00Z,615000,1230.00
4130071230000,2024-04-30T10:00:00Z,520000,780.00
4130070040000,2024-06-14T10:00:00Z,620000,ERROR
4130050940002,2024-04-05T10:00:00Z,899000,1788.00
4130030280002,2024-05-06T10:00:00Z,1670000,5010.00
4130011210000,2024-06-28T10:00:00Z,910000,1820.00
4120140500000,2024-01-19T10:00:00Z,790000,1580.00
4120130400000,2024-05-14T10:00:00Z,1200000,3600.00
4120130390000,2024-05-14T10:00:00Z,1200000,3600.00
4120130080000,2024-06-14T10:00:00Z,977000,1954.00
4120100230000,2024-03-08T10:00:00Z,945000,1890.00
3990091040000,2024-04-10T10:00:00Z,211000,316
3990070470000,2024-03-28T10:00:00Z,410000,410.00
